flight_id,asset_id,tail_number,flight_date,phase,egt_c,egt_margin_c,n1_pct,n2_pct,oil_pressure_psi,oil_temp_c,vibration_n1_ips,vibration_n2_ips,fuel_flow_pph
N12345-2026-01-01-01,ENG-001,N12345,2026-01-01,cruise,894.3,56.0,90.1,95.6,56.3,91.4,1.1,1.4,2450.4
N12345-2026-01-01-01,ENG-002,N12345,2026-01-01,cruise,895.7,51.7,91.0,95.1,57.2,89.9,0.9,0.9,2490.7
N67890-2026-01-01-01,ENG-003,N67890,2026-01-01,cruise,854.5,51.6,88.7,93.3,54.9,90.7,1.0,1.0,2601.1
N67890-2026-01-01-01,ENG-004,N67890,2026-01-01,cruise,851.9,52.8,89.6,94.5,55.2,89.8,0.9,1.3,2669.5
N12345-2026-01-02-01,ENG-001,N12345,2026-01-02,cruise,894.4,55.8,91.7,96.2,59.2,87.3,0.8,1.1,2449.6
N12345-2026-01-02-01,ENG-002,N12345,2026-01-02,cruise,897.3,52.2,91.3,95.7,58.2,87.3,0.8,1.4,2497.8
N67890-2026-01-02-01,ENG-003,N67890,2026-01-02,cruise,853.1,47.3,88.8,95.0,53.7,88.8,1.1,1.0,2672.2
N67890-2026-01-02-01,ENG-004,N67890,2026-01-02,cruise,845.9,49.8,88.1,93.6,53.6,85.3,1.3,1.5,2607.8
N12345-2026-01-03-01,ENG-001,N12345,2026-01-03,cruise,894.7,55.6,90.8,96.8,57.8,88.6,0.8,1.2,2471.5
N12345-2026-01-03-01,ENG-002,N12345,2026-01-03,cruise,896.1,53.2,90.4,97.0,59.1,86.5,0.6,0.9,2495.3
N67890-2026-01-03-01,ENG-003,N67890,2026-01-03,cruise,849.7,49.1,90.0,94.1,54.8,90.8,1.3,1.0,2591.4
N67890-2026-01-03-01,ENG-004,N67890,2026-01-03,cruise,846.6,52.3,88.5,94.3,52.7,86.6,1.0,1.6,2675.1
N12345-2026-01-04-01,ENG-001,N12345,2026-01-04,cruise,894.1,55.4,91.0,95.4,60.5,92.2,0.9,1.3,2513.1
N12345-2026-01-04-01,ENG-002,N12345,2026-01-04,cruise,899.3,54.3,91.6,96.1,56.0,87.9,0.6,1.4,2525.4
